Date,B1K,BHM,BMM,BMR,BMV,BMY,BND,BNQ,BO1,BOO,BQB,BTU,BTY,BXD,CFO,CIQ,CME,CPR,CQU,CTM,CYC,DBS,DCB,DDM,DHG,DID,DJN,DPI,DQV,DTM,DUY,DXO,DXZ,ENQ,EPX,EYT,FWO,GCV,GMU,GNH,GQI,HNH,HP1,HQU,IWO,JBH,JMV,JQM,KCI,KIY,MMD,NGH,NHS,NQM,NRH,OBC,ODN,OTU,PSH,PSJ,PTI,RBO,RCF,RVC,SFB,SID,SJP,SNE,TBS,TDH,TFL,THQ,THS,TIM,TLJ,TPM,TQL,TUP,TVO,TWX,TZE,UBI,UDM,UMT,UQN,UXF,WDY,XCD,XFT,XPS,XPX,XQM,YSP
2015-01-02,4.66,13.47,6.56,5.0863,3.25,3.11001,13.58,5.56,32.23,22.559999,7.46179,1.325,36.77,1.81,12.82,27.603399,4.9946,12.2,1.03315,5.71,10.73,10.56,85.278,9.31,6.58,4.57,22.809999,78.150002,11.92,87.379997,34.439999,12.69,0.854726,25.23,4.43396,7.06,0.60115,7.5744,32.84,2.83,5.91,5.8,2.7339,4.41,3.21656,6.45492,6.0,3.22,15.5102,13.3,16.469998999999998,16.68,1.81,2.43,58.540001,31.924999,10.96,1.51,10.2178,19.219999,7.89,2.57721,11.2,2.36563,45.32,57.869999,58.330002,6.93,0.255,3.53,17.5,4.14,3.82,18.66,2.1061400000000003,13.69,2.98,7.1327,14.4593,5.96,4.74,4.09138,8.46751,5.97,6.681310000000001,4.696969999999999,2.88,33.044998,29.8262,9.44515,30.629999,37.629501,15.57
2015-01-05,4.68,13.64,6.59,5.0863,3.27,3.09051,13.6,5.57,32.169998,22.620001,7.72081,1.34,36.959999,1.825,12.86,27.5473,5.05051,12.17,1.09219,5.76,10.75,10.56,85.486801,9.19,6.6,4.61,22.969999,78.66999799999999,11.88,87.75,35.299999,12.58,0.854726,25.0,4.4717,7.14,0.647039,7.641260000000001,33.209999,2.82,5.84,5.81,2.75385,4.44,3.24537,6.51639,6.18,3.26,15.6683,13.23,16.530001000000002,16.77,1.83,2.39,58.419998,31.972601,11.45,1.58,10.3228,19.23,8.0,2.66241,11.25,2.36563,45.439999,57.779999,58.48,7.1,0.264808,3.57,17.530001000000002,4.17,3.78,18.700001,2.09625,13.74,2.95,7.19366,14.5314,6.15,4.83,4.06187,8.52604,5.98,6.573230000000001,4.64784,2.87,32.935799,29.797701,9.58626,30.24,37.826801,15.52
2015-01-06,4.58,13.46,6.53,4.86024,3.25,3.03201,13.55,5.46,31.780001,22.209999,7.671,1.335,36.41,1.8,12.75,26.267099,4.9946,11.9,1.02823,5.55,10.67,10.27,84.84030200000001,9.21,6.33,4.51,22.200001,78.620003,11.64,86.129997,34.810001,12.35,0.825253,24.76,4.33962,7.1,0.679162,7.48844,33.330002,2.79,5.75,5.73,2.78378,4.39,3.24537,6.413930000000001,6.0,3.43,15.5498,13.22,16.219998999999998,16.700001,1.815,2.35,57.080002,31.715799,11.73,1.67,9.88539,18.76,7.31,2.77955,11.05,2.32653,45.02,57.650002,57.59,6.98,0.279519,3.49,17.440001000000002,4.14,3.82,18.49,2.07647,13.66,2.98,6.57532,14.243,5.98,4.79,4.0422,8.54555,5.94,6.33742,4.63801,2.86,32.647701,29.6768,9.10648,29.799999,35.9814,15.4
2015-01-07,4.56,13.51,6.52,4.95443,3.29,3.05151,13.41,5.48,31.719999,22.34,7.521560000000001,1.33,36.450001,1.805,12.78,26.267099,4.9946,11.94,0.959358,5.39,10.44,10.35,84.651398,9.13,6.32,4.54,21.35,78.5,11.63,86.25,34.459999,12.17,0.815429,24.790001,4.21698,7.21,0.734229,7.373819999999999,33.450001,2.74,5.92,5.78,2.82369,4.38,3.19736,6.3627,5.94,3.43,15.5596,13.04,16.290001,16.700001,1.835,2.39,57.419998,31.791901,11.69,1.71,9.72792,18.43,7.2,2.7263,10.92,2.28743,45.209999,57.009998,57.290001,6.97,0.274615,3.58,17.299999,4.13,3.77,18.530001,2.08636,13.71,3.02,6.488230000000001,14.2739,5.86,4.83,4.05204,8.45775,5.95,6.30794,4.5594,2.86,32.469002,29.4846,8.68314,29.950001,35.6656,15.56
2015-01-08,4.61,13.57,6.64,4.70953,3.34,3.08076,13.2,5.46,31.91,22.450001,7.65107,1.345,36.700001,1.875,12.8,26.5194,5.03187,11.94,0.983957,5.44,10.52,10.44,84.929802,9.13,6.34,4.59,21.530001,79.599998,11.92,85.860001,34.400002,12.15,0.800692,24.51,4.23585,7.26,0.715874,7.45023,33.549999,2.67,5.88,5.81,2.8037400000000003,4.43,3.20696,6.45492,5.9,3.4,15.6584,12.89,16.34,16.82,1.86,2.39,57.880001,32.077202,11.64,1.65,9.80666,18.1,7.09,2.705,11.15,2.29721,45.0,58.02,58.650002,7.01,0.279519,3.61,17.360001,4.18,3.81,18.42,2.1061400000000003,13.69,3.02,6.35759,14.3769,5.72,4.86,4.08154,8.59432,6.02,6.37672,4.48079,2.87,32.5881,29.754999,8.52321,29.639999,35.4879,15.69
2015-01-09,4.67,13.73,6.75,4.86966,3.07,3.11001,13.26,5.57,32.389999,22.639999,7.680960000000001,1.36,37.169998,1.88,12.94,27.248301,5.0971,12.02,1.03807,5.6,10.56,10.69,85.576302,9.35,6.49,4.64,21.49,80.33000200000001,12.34,87.099998,35.349998,12.33,0.820341,25.51,4.33962,7.29,0.734229,7.59351,34.900002,2.78,5.89,5.9,2.79376,4.47,3.3317900000000003,6.59836,6.16,3.38,15.7276,13.23,16.59,17.43,1.88,2.4,57.939999,32.562401,12.18,1.7,10.0691,18.799999,7.35,2.66241,11.23,2.33631,45.32,58.959999,59.400002,7.15,0.304039,3.65,17.700001,4.23,3.74,18.52,2.1259200000000003,13.7,3.05,6.69725,14.6859,5.87,4.88,4.16022,8.56506,6.07,6.52411,4.5888800000000005,2.94,33.174099,30.4027,8.78662,30.219999,36.563599,15.8
2015-01-12,4.61,13.71,6.71,4.74721,2.84,3.08076,13.15,5.54,32.23,22.450001,7.72081,1.35,36.950001,1.885,12.9,26.6409,5.08778,11.95,0.988877,5.5,10.6,10.49,85.1884,9.25,6.39,4.58,21.42,81.160004,12.21,86.66999799999999,34.93,12.23,0.8301649999999999,25.24,4.29245,7.2,0.766352,7.60306,34.529999,2.69,5.85,5.86,2.76383,4.43,3.30298,6.61885,6.2,3.44,16.0536,12.85,16.52,17.370001000000002,1.845,2.4,57.200001,32.267502,12.48,1.72,9.73667,18.43,7.3,2.58786,11.07,2.33631,45.77,58.41,58.5,7.05,0.323654,3.67,17.290001,4.19,3.79,18.379999,2.1358,13.69,3.02,6.34889,14.6756,5.79,4.9,4.11105,8.58457,6.04,6.38655,4.5594,2.93,33.114601,30.196301,8.49499,30.07,35.872799,15.67
2015-01-13,4.73,13.68,6.71,4.71895,3.01,3.08076,13.29,5.49,32.16,22.35,7.690919999999999,1.36,36.66,1.965,12.83,26.136299,5.04119,11.88,0.983957,5.47,10.38,10.72,84.84030200000001,9.3,6.39,4.6,21.24,79.790001,12.18,86.489998,35.16,12.34,0.825253,24.92,4.30189,7.2,0.8351860000000001,7.59351,34.220001,2.55,5.81,5.84,2.76383,4.38,3.3221800000000004,6.53688,6.14,3.45,16.3302,12.94,16.49,17.450001,1.835,2.38,56.990002,32.162899,12.95,1.81,9.47423,18.1,7.14,2.60916,10.95,2.27766,45.779999,59.279999,57.459999,7.2,0.328558,3.67,17.15,4.17,3.8,18.139999,2.15558,13.6,3.01,6.27921,14.552,5.71,4.94,4.14055,8.60408,6.11,6.37672,4.62819,2.93,33.174099,30.239,8.58906,29.9,35.251099,15.35
2015-01-14,4.64,13.66,6.58,4.57767,2.91,3.06126,13.25,5.41,31.67,22.360001,7.671,1.37,36.57,1.96,12.8,25.4168,4.8921,11.87,0.974117,5.23,10.34,10.43,83.22910300000001,9.14,6.33,4.6,20.969999,79.239998,12.02,85.82,34.98,12.2,0.810516,24.549999,4.22642,7.18,0.77553,7.48844,33.549999,2.34,5.83,5.85,2.77381,4.41,3.54302,6.53688,6.45,3.37,16.3006,12.49,16.4,18.059999,1.85,2.35,55.919998,32.067699,12.44,1.82,9.55296,17.9,7.2,2.59851,10.72,2.28743,45.459999,58.380001,55.540001,7.33,0.313846,3.69,16.9,4.17,3.8,18.15,2.1061400000000003,13.25,3.01,6.40985,14.449,5.54,4.97,4.19956,8.61383,6.17,6.3276,4.63801,2.89,32.905998,30.004101,8.31625,30.0,35.073502000000005,15.35
2015-01-15,4.59,13.76,6.53,4.42696,2.83,3.03201,13.14,5.38,31.5,22.219999,7.73077,1.38,36.299999,1.825,12.73,25.136499,4.92937,11.8,0.983957,5.1,10.34,10.3,83.059998,9.15,6.18,4.61,20.780001,80.129997,12.13,86.300003,34.77,12.21,0.805604,24.5,4.16038,7.2,0.77553,7.44068,34.18,2.27,5.7,5.8,2.78378,4.39,3.51422,6.51639,6.29,3.35,16.1425,12.28,16.120001000000002,17.870001000000002,1.835,2.35,55.849998,31.886999,12.14,1.85,9.30801,17.540001,7.21,2.51331,10.77,2.25811,46.0,58.700001,54.18,7.34,0.333462,3.71,16.870001000000002,4.13,3.8,18.24,2.1358,12.79,3.0,6.51436,14.3666,5.44,4.98,4.170059999999999,8.769919999999999,6.2,6.23917,4.65767,2.87,32.568298,30.317301,8.3821,30.25,34.5998,15.1
